restaurant_id,restaurant_name,cuisine,zone
2000,"Gola, Bedi and Suresh Foods",Chinese,Indiranagar
2001,Ramakrishnan-Sarkar Foods,South Indian,Indiranagar
2002,"Dua, Gupta and Mammen Foods",North Indian,Koramangala
2003,"Kothari, Doctor and Mistry Foods",Cafe,Whitefield
2004,Kibe Inc Foods,North Indian,Koramangala
2005,Murthy-Subramanian Foods,Pizza,Koramangala
2006,Parmer Group Foods,Pizza,Whitefield
2007,Dar LLC Foods,South Indian,Whitefield
2008,"Borra, Patla and Mangat Foods",Cafe,Jayanagar
2009,"Bhatt, Nayak and Goswami Foods",Cafe,Whitefield
2010,Sampath-Majumdar Foods,Cafe,HSR Layout
2011,Thaman-Karnik Foods,Pizza,Jayanagar
2012,Patil Ltd Foods,Pizza,Jayanagar
2013,Lalla Inc Foods,South Indian,Whitefield
2014,"Guha, Minhas and Tata Foods",Cafe,Indiranagar
2015,"Divan, Shan and Bhatnagar Foods",Cafe,Indiranagar
2016,Bhattacharyya-Andra Foods,South Indian,Koramangala
2017,Kala-Cherian Foods,Cafe,Jayanagar
2018,Nagarajan-Kumer Foods,Chinese,Koramangala
2019,Mitter LLC Foods,Biryani,Koramangala
2020,"Bhasin, Trivedi and Kamdar Foods",Chinese,Jayanagar
2021,"Kaur, Suri and Varughese Foods",Chinese,Indiranagar
2022,"Badami, Munshi and Shah Foods",South Indian,Indiranagar
2023,Jhaveri and Sons Foods,South Indian,Whitefield
2024,"Seshadri, Muni and Behl Foods",Pizza,Jayanagar
2025,Sehgal-Parsa Foods,Cafe,Jayanagar
2026,"Nath, Rana and Sankar Foods",Chinese,Jayanagar
2027,Dass Inc Foods,Biryani,Indiranagar
2028,Dey LLC Foods,South Indian,Whitefield
2029,Sule Group Foods,North Indian,HSR Layout
2030,"Narayan, Virk and Rout Foods",Biryani,Whitefield
2031,Rana-Iyengar Foods,Chinese,Jayanagar
2032,Nazareth and Sons Foods,South Indian,Indiranagar
2033,"Rout, Luthra and Mahajan Foods",Chinese,Koramangala
2034,Khurana LLC Foods,Pizza,Jayanagar
2035,"Barad, Guha and Sane Foods",Pizza,Koramangala
2036,"Shankar, Pant and Baria Foods",South Indian,Indiranagar
2037,"Swamy, Soman and Narayanan Foods",Biryani,Whitefield
2038,Vig-Randhawa Foods,Pizza,HSR Layout
2039,Kapur LLC Foods,Biryani,Jayanagar
2040,"Agate, Sehgal and Ramakrishnan Foods",North Indian,Whitefield
2041,"Issac, Magar and Nagarajan Foods",Chinese,Indiranagar
2042,Date LLC Foods,North Indian,Koramangala
2043,"Nayak, Sachar and Vohra Foods",Biryani,Jayanagar
2044,"Sheth, Kale and Lad Foods",Cafe,Indiranagar
2045,"Sastry, Deshmukh and Shukla Foods",North Indian,Whitefield
2046,Divan Ltd Foods,South Indian,HSR Layout
2047,"Walla, D’Alia and Lad Foods",Pizza,HSR Layout
2048,Naik-Bali Foods,South Indian,HSR Layout
2049,Maharaj-Wali Foods,Chinese,HSR Layout
2050,Brahmbhatt PLC Foods,North Indian,Koramangala
2051,Sekhon-Kade Foods,Cafe,Koramangala
2052,Deol-Sule Foods,Pizza,Whitefield
2053,Mishra Inc Foods,Cafe,Indiranagar
2054,Choudhry LLC Foods,Pizza,Indiranagar
2055,Natt-Kalla Foods,South Indian,Indiranagar
2056,"Ben, Seth and Anne Foods",North Indian,Whitefield
2057,Agarwal and Sons Foods,Chinese,Koramangala
2058,"Chad, Joshi and Mistry Foods",Pizza,HSR Layout
2059,Nagi-Yadav Foods,Pizza,Whitefield
2060,Pathak-Srinivas Foods,Biryani,Whitefield
2061,Nori PLC Foods,Cafe,Koramangala
2062,Raj Ltd Foods,Biryani,HSR Layout
2063,Prabhu PLC Foods,Biryani,Koramangala
2064,"Varty, Patil and Pingle Foods",Biryani,Indiranagar
2065,Sawhney Inc Foods,Chinese,Whitefield
2066,Borah-Mahajan Foods,Pizza,Indiranagar
2067,"Bora, Bumb and Lad Foods",North Indian,Jayanagar
2068,Sheth-Goyal Foods,Cafe,Koramangala
2069,"Sandhu, Master and Kibe Foods",Chinese,Indiranagar
2070,Bava Ltd Foods,South Indian,Indiranagar
2071,"Sabharwal, Yadav and Chada Foods",Biryani,Jayanagar
2072,Bedi-Kanda Foods,Pizza,Koramangala
2073,"Dhillon, Joshi and Dube Foods",North Indian,HSR Layout
2074,Arya Ltd Foods,Chinese,Jayanagar
2075,"Rajagopal, Sani and Vohra Foods",North Indian,Koramangala
2076,Parmar-Panchal Foods,North Indian,Jayanagar
2077,Butala-Palla Foods,North Indian,Jayanagar
2078,"Sangha, Murty and Datta Foods",Pizza,Indiranagar
2079,Parsa-Dayal Foods,Pizza,HSR Layout
2080,Badami Group Foods,Pizza,Jayanagar
2081,"Kara, Dhillon and Malhotra Foods",Pizza,Indiranagar
2082,Buch-Narayanan Foods,South Indian,Jayanagar
2083,Setty-Pau Foods,South Indian,HSR Layout
2084,Soni-Panchal Foods,Cafe,Jayanagar
2085,"Basak, Gill and Kota Foods",Chinese,HSR Layout
2086,"Swaminathan, Sami and Gaba Foods",Chinese,Whitefield
2087,"Yadav, Saraf and Sachdeva Foods",North Indian,Whitefield
2088,"Deol, Varughese and Tandon Foods",Chinese,Whitefield
2089,Uppal LLC Foods,Biryani,Indiranagar
2090,Lal-Yadav Foods,Pizza,Koramangala
2091,Soman PLC Foods,North Indian,Whitefield
2092,Anand-Shere Foods,Pizza,Jayanagar
2093,Keer-Kala Foods,South Indian,Whitefield
2094,Sundaram Ltd Foods,Biryani,Jayanagar
2095,Dewan-Sachar Foods,Chinese,HSR Layout
2096,"Lall, Pillai and Patla Foods",South Indian,Koramangala
2097,Mangat-Arora Foods,Chinese,Koramangala
2098,"Sha, Johal and Brahmbhatt Foods",Pizza,Whitefield
2099,"Om, Pradhan and Jayaraman Foods",Pizza,Koramangala
2100,More Ltd Foods,Biryani,HSR Layout
2101,Banik LLC Foods,North Indian,HSR Layout
2102,"Mittal, Shanker and Mahal Foods",Pizza,Jayanagar
2103,Sagar LLC Foods,Cafe,Indiranagar
2104,Mallick-Agate Foods,Pizza,Whitefield
2105,Narain Inc Foods,Biryani,Indiranagar
2106,"Jain, Srinivas and Ahuja Foods",North Indian,Jayanagar
2107,Modi PLC Foods,Cafe,Whitefield
2108,"Narain, Manda and Bose Foods",Cafe,Jayanagar
2109,"Seth, Sengupta and Dar Foods",North Indian,Whitefield
2110,"Vasa, Khanna and Dhingra Foods",Pizza,Koramangala
2111,"Sha, Virk and Baral Foods",Cafe,Whitefield
2112,"Vora, Hans and Borra Foods",Chinese,Koramangala
2113,Butala Inc Foods,Chinese,Indiranagar
2114,"Agrawal, Ramachandran and Saini Foods",North Indian,Koramangala
2115,Shukla and Sons Foods,Pizza,Indiranagar
